Tenure,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single
0.556065113928872,1.5746012592516143,0.31806560623550145,-0.0149079595568748,-0.847545095797555,-0.6261643050424728,0.6642042803578229,-0.691592722724674,0,False,True,False,False,False,False,True
-0.36885132105911655,1.107694193963952,0.31806560623550145,-1.4487028934092578,-0.847545095797555,-0.6261643050424728,0.6642042803578229,-0.9761589695722783,0,False,False,True,False,False,True,False
1.943439766410855,-0.2930270018990354,-0.6649916077437895,-1.4487028934092578,0.2962735023279111,-0.6261643050424728,0.6642042803578229,-0.18006309011622196,0,False,True,False,False,False,True,False
2.2902834295313506,-0.059573469255204174,0.31806560623550145,0.7019895073693168,1.4400921004533773,-0.6261643050424728,0.9348092687547254,2.935967736911395,0,False,False,False,False,True,False,True
-0.36885132105911655,0.05715329706671144,0.31806560623550145,-0.7318054264830663,-0.847545095797555,-0.6261643050424728,1.746624233945433,-0.4991099228256171,0,False,False,False,True,False,False,False
-1.062538647300108,-0.059573469255204174,2.284180034194083,1.4188869742955084,-0.46627222975573296,-0.6261643050424728,-0.6888206616266899,-0.5660428247926234,0,False,False,False,True,False,False,False
-1.062538647300108,-0.5264805345428666,0.31806560623550145,1.4188869742955084,-0.46627222975573296,-0.6261643050424728,-0.9594256500235924,-0.46016714349935933,1,False,False,False,True,False,False,True
0.09360689643487773,-0.409753768220951,0.31806560623550145,-0.0149079595568748,-0.847545095797555,-0.6261643050424728,-0.14761068483288475,-0.8193737173889578,0,False,False,False,True,False,True,False
0.7872942226758691,-0.993387599830529,-0.6649916077437895,-1.4487028934092578,0.2962735023279111,1.597024921329825,-0.6888206616266899,-0.40540386007180856,0,False,True,False,False,False,True,False
0.6716796683023706,0.5240603623543739,-1.6480488217230804,1.4188869742955084,1.0588192344115552,-0.6261643050424728,-0.9594256500235924,0.06008404906236939,0,False,True,False,False,False,True,False
